@type,name,amenity,addr:postcode,addr:suburb,@lat,@lon
node,Herkules II,restaurant,12623,Mahlsdorf,52.5130915,13.6118344
node,Bei Lydia,restaurant,10179,,52.5124788,13.4117007
node,Mammam,restaurant,10179,Mitte,52.5125703,13.4115370
node,Promo,restaurant,10555,Moabit,52.5220952,13.3361775
node,Trattoria Da Remo II,restaurant,14167,Zehlendorf,52.4146202,13.2667181
node,Civan�s Imbiss,fast_food,14169,Zehlendorf,52.4356883,13.2611587
node,Louis Laurent,restaurant,10629,Charlottenburg,52.5022351,13.3098678
node,3 Schwestern,restaurant,10997,Kreuzberg,52.5038723,13.4242760
node,D�ner Point,fast_food,,,52.5104947,13.3964109
node,Gatto Nero,restaurant,12105,Tempelhof,52.4526569,13.3712229
node,paran,restaurant,12047,Neuk�lln,52.4927476,13.4278217
node,Maison Viet,fast_food,10437,Prenzlauer Berg,52.5415795,13.4211167
node,La Piccola Cucina,restaurant,14109,Wannsee,52.4143297,13.1481758
node,Ilayda,fast_food,,,52.5514145,13.4136359
node,Mundvoll,restaurant,14165,,52.4233888,13.2420327
node,Best D�ner Kebap Berlin,fast_food,10551,Moabit,52.5274898,13.3295892
node,Flori,restaurant,12619,Hellersdorf,52.5206937,13.5904801
node,Nante Kaulsdorf,restaurant,12619,Hellersdorf,52.5208313,13.5913178
node,Bistro Dream,fast_food,,,52.5209648,13.5883161
node,MAC's Kebap,fast_food,12619,,52.5209567,13.5876170
node,Klabautermann,restaurant,,,52.5205975,13.5861530
node,Bharat,restaurant,12619,,52.5217452,13.5909504
node,Nachtigall Imbiss,fast_food,,,52.5386963,13.4235449
node,Ristorante I Due Amici,restaurant,12489,Adlershof,52.4315804,13.5333991
node,Salhino,restaurant,10629,Charlottenburg,52.5032723,13.3055381
node,Trattoria Toscana,restaurant,13089,Heinersdorf,52.5682194,13.4397025
node,Kantine,restaurant,10179,Mitte,52.5182828,13.4192379
node,Spitteleck,restaurant,10117,Mitte,52.5111321,13.4026843
node,NK BISTRO,fast_food,10367,Lichtenberg,52.5201337,13.4793907
node,Amma,restaurant,12163,Steglitz,52.4637543,13.3310196
node,Sch�tzenhof,restaurant,13587,Hakenfelde,52.5678885,13.2122855
node,Sempre,restaurant,,,52.4473910,13.3927789
node,La Piccola Cantina,restaurant,,Tempelhof,52.4476546,13.3889907
node,Ristorante Firenze,restaurant,13187,Pankow,52.5653609,13.4041146
node,LA PAZ,restaurant,13187,Pankow,52.5655394,13.4004347
node,Pho,restaurant,10115,Mitte,52.5264418,13.3878760
node,Ko Phai,restaurant,14169,Zehlendorf,52.4318571,13.2595374
node,Sakura,restaurant,,,52.4357325,13.2611622
node,Sagrantino 136,restaurant,10115,Mitte,52.5263316,13.3890513
node,Gyros Express,fast_food,,,52.5245039,13.1975983
node,Spandau Sushi,fast_food,13585,Spandau,52.5486302,13.2016323
node,Bar & Bistro La Havanita im centrovital Hotel,restaurant,,,52.5468459,13.2103924
node,Corallo,restaurant,13353,Wedding,52.5474594,13.3539523
node,Perserwich,fast_food,,,52.5177251,13.3001719
node,Natural'mente,restaurant,10585,Charlottenburg,52.5171651,13.2999962
node,Daniele,restaurant,10585,Charlottenburg,52.5196023,13.3006072
node,Pizza Hut,restaurant,,,52.5253841,13.3918230
node,Romero,restaurant,10623,Charlottenburg,52.5047787,13.3281340
node,Go Go Hachi,restaurant,,,52.5048014,13.3282850
node,D�ner 63,fast_food,,,52.4768650,13.4392633
